OrderDate,Subtype,Counts
01/02/2020,POTIONS & ALCHEMY,12
01/02/2020,RING,8
01/02/2020,ROD,6
01/02/2020,SCROLL,36
01/02/2020,SHIELD,8
01/02/2020,SIMPLE MELEE WEAPON,30
01/02/2020,SIMPLE RANGED WEAPON,3
01/02/2020,SPELL FOCUS,12
01/02/2020,STAFF,10
01/02/2020,STRING INSTRUMENT,8
01/02/2020,SUMMONING DEVICE,12
01/02/2020,SURVIVAL & WILDERNESS,9
01/02/2020,TOOL KITS,18
01/02/2020,TOOLS,25
01/02/2020,VEHICLE,1
01/02/2020,WAND,7
01/02/2020,WEAPON OTHER,3
01/02/2020,WIND INSTRUMENT,5
01/02/2021,AMMUNITION,16
01/02/2021,AMULET / NECKLACE,8
01/02/2021,ARMOUR OTHER,8
01/02/2021,BELT / GIRDLE,4
01/02/2021,BOOTS,2
01/02/2021,BRACERS,1
01/02/2021,BRASS INSTRUMENT,4
01/02/2021,CLOAK,6
01/02/2021,CLOTHING,7
01/02/2021,CONTAINER,4
01/02/2021,GAMING SET,4
01/02/2021,GAUNTLETS / GLOVES,3
01/02/2021,GOGGLES,6
01/02/2021,HEAVY ARMOUR,11
01/02/2021,HELMET,14
01/02/2021,IOUN STONE,8
01/02/2021,LIGHT ARMOUR,7
01/02/2021,LIVESTOCK,5
01/02/2021,MAGIC UTILITY,41
01/02/2021,MARTIAL MELEE WEAPON,40
01/02/2021,MARTIAL RANGED WEAPON,5
01/02/2021,MEDIUM ARMOUR,10
01/02/2021,MOUNT,14
01/02/2021,POTIONS & ALCHEMY,15
01/02/2021,RING,16
01/02/2021,ROD,6
01/02/2021,SCROLL,25
01/02/2021,SHIELD,9
01/02/2021,SIMPLE MELEE WEAPON,21
01/02/2021,SIMPLE RANGED WEAPON,6
01/02/2021,SPELL FOCUS,14
01/02/2021,STAFF,8
01/02/2021,STRING INSTRUMENT,8
01/02/2021,SUMMONING DEVICE,15
01/02/2021,SURVIVAL & WILDERNESS,9
01/02/2021,TOOL KITS,11
01/02/2021,TOOLS,35
01/02/2021,VEHICLE,2
01/02/2021,WAND,6
01/02/2021,WEAPON OTHER,1
01/02/2021,WIND INSTRUMENT,2
01/02/2022,AMMUNITION,9
01/02/2022,AMULET / NECKLACE,3
01/02/2022,ARMOUR OTHER,18
01/02/2022,BELT / GIRDLE,4
01/02/2022,BOOTS,4
01/02/2022,BRACERS,2
01/02/2022,BRASS INSTRUMENT,1
01/02/2022,CLOAK,6
01/02/2022,CLOTHING,9
01/02/2022,CONTAINER,4
01/02/2022,GAUNTLETS / GLOVES,3
01/02/2022,GOGGLES,4
01/02/2022,HEAVY ARMOUR,8
01/02/2022,HELMET,9
01/02/2022,IOUN STONE,9
01/02/2022,LIGHT ARMOUR,11
01/02/2022,LIVESTOCK,2
01/02/2022,MAGIC UTILITY,43
01/02/2022,MARTIAL MELEE WEAPON,33
01/02/2022,MARTIAL RANGED WEAPON,4
01/02/2022,MEDIUM ARMOUR,4
01/02/2022,MOUNT,20
01/02/2022,PERCUSSION INSTRUMENT,1
01/02/2022,POTIONS & ALCHEMY,38
01/02/2022,RING,16
01/02/2022,ROD,8
01/02/2022,SCROLL,15
01/02/2022,SHIELD,5
01/02/2022,SIMPLE MELEE WEAPON,33
01/02/2022,SIMPLE RANGED WEAPON,10
01/02/2022,SPELL FOCUS,22
01/02/2022,STAFF,13
01/02/2022,STRING INSTRUMENT,7
01/02/2022,SUMMONING DEVICE,18
01/02/2022,SURVIVAL & WILDERNESS,11
01/02/2022,TOOL KITS,13
01/02/2022,TOOLS,36
01/02/2022,VEHICLE,2
01/02/2022,WAND,5
01/02/2022,WEAPON OTHER,1
01/02/2022,WIND INSTRUMENT,4
01/02/2023,AMMUNITION,8
01/02/2023,AMULET / NECKLACE,2
01/02/2023,ARMOUR OTHER,11
01/02/2023,BELT / GIRDLE,9
01/02/2023,BOOTS,4
01/02/2023,BRACERS,3
01/02/2023,BRASS INSTRUMENT,2
01/02/2023,CLOAK,10
01/02/2023,CLOTHING,9
01/02/2023,CONTAINER,10
01/02/2023,GAMING SET,3
01/02/2023,GAUNTLETS / GLOVES,3
01/02/2023,GOGGLES,9
01/02/2023,HEAVY ARMOUR,21
01/02/2023,HELMET,13
01/02/2023,IOUN STONE,7
01/02/2023,LIGHT ARMOUR,9
01/02/2023,LIVESTOCK,1
01/02/2023,MAGIC UTILITY,46
01/02/2023,MARTIAL MELEE WEAPON,49
01/02/2023,MARTIAL RANGED WEAPON,8
01/02/2023,MEDIUM ARMOUR,5
01/02/2023,MOUNT,12
01/02/2023,PERCUSSION INSTRUMENT,1
01/02/2023,POTIONS & ALCHEMY,17
01/02/2023,RING,17
01/02/2023,SCROLL,29
01/02/2023,SHIELD,6
01/02/2023,SIMPLE MELEE WEAPON,21
01/02/2023,SIMPLE RANGED WEAPON,6
01/02/2023,SPELL FOCUS,21
01/02/2023,STAFF,12
01/02/2023,STRING INSTRUMENT,5
01/02/2023,SUMMONING DEVICE,9
01/02/2023,SURVIVAL & WILDERNESS,15
01/02/2023,TOOL KITS,14
01/02/2023,TOOLS,26
01/02/2023,WAND,12
01/02/2023,WEAPON OTHER,2
01/02/2023,WIND INSTRUMENT,3
01/03/2019,AMMUNITION,6
01/03/2019,AMULET / NECKLACE,8
01/03/2019,ARMOUR OTHER,9
01/03/2019,BELT / GIRDLE,4
01/03/2019,BOOTS,2
01/03/2019,BRACERS,2
01/03/2019,BRASS INSTRUMENT,2
01/03/2019,CLOAK,7
01/03/2019,CLOTHING,3
01/03/2019,CONTAINER,10
01/03/2019,GAMING SET,2
01/03/2019,GOGGLES,4
01/03/2019,HEAVY ARMOUR,9
01/03/2019,HELMET,7
01/03/2019,IOUN STONE,6
01/03/2019,LIGHT ARMOUR,7
01/03/2019,LIVESTOCK,4
01/03/2019,MAGIC UTILITY,47
01/03/2019,MARTIAL MELEE WEAPON,25
01/03/2019,MARTIAL RANGED WEAPON,10
01/03/2019,MEDIUM ARMOUR,4
01/03/2019,MOUNT,21
01/03/2019,PERCUSSION INSTRUMENT,3
01/03/2019,POTIONS & ALCHEMY,21
01/03/2019,RING,7
01/03/2019,ROD,7
01/03/2019,SCROLL,26
01/03/2019,SHIELD,12
01/03/2019,SIMPLE MELEE WEAPON,18
01/03/2019,SIMPLE RANGED WEAPON,4
01/03/2019,SPELL FOCUS,17
01/03/2019,STAFF,9
01/03/2019,STRING INSTRUMENT,10
01/03/2019,SUMMONING DEVICE,24
01/03/2019,SURVIVAL & WILDERNESS,12
01/03/2019,TOOL KITS,14
01/03/2019,TOOLS,24
01/03/2019,WAND,9
01/03/2019,WEAPON OTHER,2
01/03/2019,WIND INSTRUMENT,3
01/03/2020,AMMUNITION,5
01/03/2020,AMULET / NECKLACE,3
01/03/2020,ARMOUR OTHER,9
01/03/2020,BELT / GIRDLE,4
01/03/2020,BOOTS,4
01/03/2020,BRACERS,1
01/03/2020,CLOAK,11
01/03/2020,CLOTHING,8
01/03/2020,CONTAINER,7
01/03/2020,GAMING SET,5
01/03/2020,GAUNTLETS / GLOVES,5
01/03/2020,GOGGLES,3
01/03/2020,HEAVY ARMOUR,7
01/03/2020,HELMET,14
01/03/2020,IOUN STONE,12
01/03/2020,LIGHT ARMOUR,11
01/03/2020,LIVESTOCK,5
01/03/2020,MAGIC UTILITY,40
01/03/2020,MARTIAL MELEE WEAPON,39
01/03/2020,MARTIAL RANGED WEAPON,8
01/03/2020,MEDIUM ARMOUR,4
01/03/2020,MOUNT,18
01/03/2020,PERCUSSION INSTRUMENT,1
01/03/2020,POTIONS & ALCHEMY,23
01/03/2020,RING,13
01/03/2020,ROD,8
01/03/2020,SCROLL,23
01/03/2020,SHIELD,10
01/03/2020,SIMPLE MELEE WEAPON,24
01/03/2020,SIMPLE RANGED WEAPON,10
01/03/2020,SPELL FOCUS,21
01/03/2020,STAFF,11
01/03/2020,STRING INSTRUMENT,3
01/03/2020,SUMMONING DEVICE,14
01/03/2020,SURVIVAL & WILDERNESS,13
01/03/2020,TOOL KITS,10
01/03/2020,TOOLS,21
01/03/2020,WAND,9
01/03/2020,WEAPON OTHER,2
01/03/2020,WIND INSTRUMENT,3
01/03/2021,AMMUNITION,12
01/03/2021,AMULET / NECKLACE,8
01/03/2021,ARMOUR OTHER,14
01/03/2021,BELT / GIRDLE,2
01/03/2021,BOOTS,2
01/03/2021,BRACERS,2
01/03/2021,BRASS INSTRUMENT,3
01/03/2021,CLOAK,5
01/03/2021,CLOTHING,8
01/03/2021,CONTAINER,9
01/03/2021,GAMING SET,5
01/03/2021,GAUNTLETS / GLOVES,8
01/03/2021,GOGGLES,4
01/03/2021,HEAVY ARMOUR,11
01/03/2021,HELMET,12
01/03/2021,IOUN STONE,9
01/03/2021,LIGHT ARMOUR,10
01/03/2021,LIVESTOCK,2
01/03/2021,MAGIC UTILITY,57
01/03/2021,MARTIAL MELEE WEAPON,37
01/03/2021,MARTIAL RANGED WEAPON,9
01/03/2021,MEDIUM ARMOUR,14
01/03/2021,MOUNT,17
01/03/2021,PERCUSSION INSTRUMENT,2
01/03/2021,POTIONS & ALCHEMY,27
01/03/2021,RING,11
01/03/2021,ROD,12
01/03/2021,SCROLL,38
01/03/2021,SHIELD,10
01/03/2021,SIMPLE MELEE WEAPON,28
01/03/2021,SIMPLE RANGED WEAPON,13
01/03/2021,SPELL FOCUS,20
01/03/2021,STAFF,11
01/03/2021,STRING INSTRUMENT,5
01/03/2021,SUMMONING DEVICE,17
01/03/2021,SURVIVAL & WILDERNESS,14
01/03/2021,TOOL KITS,25
01/03/2021,TOOLS,36
01/03/2021,VEHICLE,1
01/03/2021,WAND,10
01/03/2021,WEAPON OTHER,4
01/03/2021,WIND INSTRUMENT,4
01/03/2022,AMMUNITION,7
01/03/2022,AMULET / NECKLACE,7
01/03/2022,ARMOUR OTHER,12
01/03/2022,BELT / GIRDLE,2
01/03/2022,BOOTS,3
01/03/2022,BRACERS,2
01/03/2022,BRASS INSTRUMENT,2
01/03/2022,CLOAK,17
01/03/2022,CLOTHING,8
01/03/2022,CONTAINER,10
01/03/2022,GAMING SET,7
01/03/2022,GAUNTLETS / GLOVES,6
01/03/2022,GOGGLES,2
01/03/2022,HEAVY ARMOUR,14
01/03/2022,HELMET,4
01/03/2022,IOUN STONE,8
01/03/2022,LIGHT ARMOUR,8
01/03/2022,MAGIC UTILITY,47
01/03/2022,MARTIAL MELEE WEAPON,49
01/03/2022,MARTIAL RANGED WEAPON,5
01/03/2022,MEDIUM ARMOUR,5
01/03/2022,MOUNT,13
01/03/2022,PERCUSSION INSTRUMENT,1
01/03/2022,POTIONS & ALCHEMY,20
01/03/2022,RING,12
01/03/2022,ROD,6
01/03/2022,SCROLL,23
01/03/2022,SHIELD,5
01/03/2022,SIMPLE MELEE WEAPON,29
01/03/2022,SIMPLE RANGED WEAPON,7
01/03/2022,SPELL FOCUS,24
01/03/2022,STAFF,12
01/03/2022,STRING INSTRUMENT,9
01/03/2022,SUMMONING DEVICE,12
01/03/2022,SURVIVAL & WILDERNESS,13
01/03/2022,TOOL KITS,16
01/03/2022,TOOLS,27
01/03/2022,VEHICLE,2
01/03/2022,WAND,8
01/03/2022,WEAPON OTHER,3
01/03/2022,WIND INSTRUMENT,4
01/03/2023,AMMUNITION,10
01/03/2023,AMULET / NECKLACE,7
01/03/2023,ARMOUR OTHER,19
01/03/2023,BELT / GIRDLE,2
01/03/2023,BOOTS,4
01/03/2023,BRACERS,2
01/03/2023,BRASS INSTRUMENT,3
01/03/2023,CLOAK,7
01/03/2023,CLOTHING,12
01/03/2023,CONTAINER,9
01/03/2023,GAMING SET,4
01/03/2023,GAUNTLETS / GLOVES,7
01/03/2023,GOGGLES,5
01/03/2023,HEAVY ARMOUR,9
01/03/2023,HELMET,15
01/03/2023,IOUN STONE,9
01/03/2023,LIGHT ARMOUR,11
01/03/2023,LIVESTOCK,1
01/03/2023,MAGIC UTILITY,59
01/03/2023,MARTIAL MELEE WEAPON,38
01/03/2023,MARTIAL RANGED WEAPON,7
01/03/2023,MEDIUM ARMOUR,8
01/03/2023,MOUNT,21
01/03/2023,POTIONS & ALCHEMY,24
01/03/2023,RING,13
01/03/2023,ROD,5
01/03/2023,SCROLL,29
01/03/2023,SHIELD,6
01/03/2023,SIMPLE MELEE WEAPON,26
01/03/2023,SIMPLE RANGED WEAPON,3
01/03/2023,SPELL FOCUS,27
01/03/2023,STAFF,13
01/03/2023,STRING INSTRUMENT,8
01/03/2023,SUMMONING DEVICE,18
01/03/2023,SURVIVAL & WILDERNESS,14
01/03/2023,TOOL KITS,17
01/03/2023,TOOLS,33
01/03/2023,VEHICLE,1
01/03/2023,WAND,17
01/03/2023,WEAPON OTHER,3
01/03/2023,WIND INSTRUMENT,6
01/04/2019,AMMUNITION,4
01/04/2019,AMULET / NECKLACE,8
01/04/2019,ARMOUR OTHER,14
01/04/2019,BELT / GIRDLE,3
01/04/2019,BOOTS,3
01/04/2019,BRACERS,6
01/04/2019,BRASS INSTRUMENT,4
01/04/2019,CLOAK,10
01/04/2019,CLOTHING,8
01/04/2019,CONTAINER,7
01/04/2019,GAMING SET,8
01/04/2019,GAUNTLETS / GLOVES,5
01/04/2019,GOGGLES,4
01/04/2019,HEAVY ARMOUR,6
01/04/2019,HELMET,9
01/04/2019,IOUN STONE,14
01/04/2019,LIGHT ARMOUR,11
01/04/2019,LIVESTOCK,1
01/04/2019,MAGIC UTILITY,44
01/04/2019,MARTIAL MELEE WEAPON,31
01/04/2019,MARTIAL RANGED WEAPON,8
01/04/2019,MEDIUM ARMOUR,4
01/04/2019,MOUNT,24
01/04/2019,PERCUSSION INSTRUMENT,3
01/04/2019,POTIONS & ALCHEMY,25
01/04/2019,RING,11
01/04/2019,ROD,6
01/04/2019,SCROLL,26
01/04/2019,SHIELD,8
01/04/2019,SIMPLE MELEE WEAPON,22
01/04/2019,SIMPLE RANGED WEAPON,4
01/04/2019,SPELL FOCUS,24
01/04/2019,STAFF,9
01/04/2019,STRING INSTRUMENT,8
01/04/2019,SUMMONING DEVICE,16
01/04/2019,SURVIVAL & WILDERNESS,11
01/04/2019,TOOL KITS,13
01/04/2019,TOOLS,30
01/04/2019,VEHICLE,2
01/04/2019,WAND,14
01/04/2019,WEAPON OTHER,3
01/04/2019,WIND INSTRUMENT,3
01/04/2020,AMMUNITION,10
01/04/2020,AMULET / NECKLACE,6
01/04/2020,ARMOUR OTHER,15
01/04/2020,BELT / GIRDLE,2
01/04/2020,BOOTS,3
01/04/2020,BRASS INSTRUMENT,4
01/04/2020,CLOAK,10
01/04/2020,CLOTHING,14
01/04/2020,CONTAINER,13
01/04/2020,GAMING SET,2
01/04/2020,GAUNTLETS / GLOVES,8
01/04/2020,GOGGLES,8
01/04/2020,HEAVY ARMOUR,6
01/04/2020,HELMET,14
01/04/2020,IOUN STONE,9
01/04/2020,LIGHT ARMOUR,14
01/04/2020,LIVESTOCK,2
01/04/2020,MAGIC UTILITY,52
01/04/2020,MARTIAL MELEE WEAPON,31
01/04/2020,MARTIAL RANGED WEAPON,8
01/04/2020,MEDIUM ARMOUR,9
01/04/2020,MOUNT,26
01/04/2020,POTIONS & ALCHEMY,18
01/04/2020,RING,11
01/04/2020,ROD,4
01/04/2020,SCROLL,33
01/04/2020,SHIELD,6
01/04/2020,SIMPLE MELEE WEAPON,20
01/04/2020,SIMPLE RANGED WEAPON,7
01/04/2020,SPELL FOCUS,26
01/04/2020,STAFF,11
01/04/2020,STRING INSTRUMENT,11
01/04/2020,SUMMONING DEVICE,12
01/04/2020,SURVIVAL & WILDERNESS,8
01/04/2020,TOOL KITS,20
01/04/2020,TOOLS,24
01/04/2020,WAND,5
01/04/2020,WEAPON OTHER,7
01/04/2020,WIND INSTRUMENT,4
01/04/2021,AMMUNITION,7
01/04/2021,AMULET / NECKLACE,7
01/04/2021,ARMOUR OTHER,11
01/04/2021,BELT / GIRDLE,3
01/04/2021,BOOTS,3
01/04/2021,BRACERS,2
01/04/2021,BRASS INSTRUMENT,1
01/04/2021,CLOAK,10
01/04/2021,CLOTHING,4
01/04/2021,CONTAINER,4
01/04/2021,GAMING SET,3
01/04/2021,GAUNTLETS / GLOVES,5
01/04/2021,GOGGLES,7
01/04/2021,HEAVY ARMOUR,5
01/04/2021,HELMET,16
01/04/2021,IOUN STONE,9
01/04/2021,LIGHT ARMOUR,7
01/04/2021,LIVESTOCK,2
01/04/2021,MAGIC UTILITY,35
01/04/2021,MARTIAL MELEE WEAPON,31
01/04/2021,MARTIAL RANGED WEAPON,4
01/04/2021,MEDIUM ARMOUR,8
01/04/2021,MOUNT,25
01/04/2021,POTIONS & ALCHEMY,18
01/04/2021,RING,13
01/04/2021,ROD,7
01/04/2021,SCROLL,14
01/04/2021,SHIELD,6
01/04/2021,SIMPLE MELEE WEAPON,33
01/04/2021,SIMPLE RANGED WEAPON,9
01/04/2021,SPELL FOCUS,20
01/04/2021,STAFF,7
01/04/2021,STRING INSTRUMENT,6
01/04/2021,SUMMONING DEVICE,9
01/04/2021,SURVIVAL & WILDERNESS,11
01/04/2021,TOOL KITS,10
01/04/2021,TOOLS,22
01/04/2021,WAND,8
01/04/2021,WEAPON OTHER,5
01/04/2021,WIND INSTRUMENT,6
01/04/2022,AMMUNITION,16
01/04/2022,AMULET / NECKLACE,7
01/04/2022,ARMOUR OTHER,10
01/04/2022,BELT / GIRDLE,4
01/04/2022,BOOTS,2
01/04/2022,BRACERS,1
01/04/2022,BRASS INSTRUMENT,2
01/04/2022,CLOAK,5
01/04/2022,CLOTHING,6
01/04/2022,CONTAINER,4
01/04/2022,GAMING SET,4
01/04/2022,GAUNTLETS / GLOVES,5
01/04/2022,GOGGLES,8
01/04/2022,HEAVY ARMOUR,16
01/04/2022,HELMET,15
01/04/2022,IOUN STONE,7
01/04/2022,LIGHT ARMOUR,13
01/04/2022,LIVESTOCK,3
01/04/2022,MAGIC UTILITY,46
