Nation,OrderDate,AverageDeliveryTime
Aglarond,01/05/2019,5.5
Aglarond,02/05/2019,11
Aglarond,03/05/2019,7
Aglarond,04/05/2019,8.75
Aglarond,05/05/2019,6
Aglarond,06/05/2019,5
Aglarond,07/05/2019,8.8
Aglarond,08/05/2019,13
Aglarond,10/05/2019,13
Aglarond,11/05/2019,3.333333333
Aglarond,12/05/2019,7
Aglarond,13/05/2019,11
Aglarond,14/05/2019,1
Aglarond,15/05/2019,13
Aglarond,16/05/2019,12.5
Aglarond,17/05/2019,6.666666667
Aglarond,18/05/2019,8.5
Aglarond,19/05/2019,6.6
Aglarond,20/05/2019,11
Aglarond,21/05/2019,5
Aglarond,22/05/2019,5.666666667
Aglarond,23/05/2019,10.16666667
Aglarond,24/05/2019,7.5
Aglarond,25/05/2019,8.666666667
Aglarond,26/05/2019,7.5
Aglarond,27/05/2019,10.33333333
Aglarond,28/05/2019,4.666666667
Aglarond,29/05/2019,7
Aglarond,30/05/2019,6.6
Aglarond,31/05/2019,7
Aglarond,01/06/2019,11.25
Aglarond,03/06/2019,6.25
Aglarond,04/06/2019,4
Aglarond,05/06/2019,8.8
Aglarond,06/06/2019,7.142857143
Aglarond,07/06/2019,12
Aglarond,08/06/2019,6.2
Aglarond,09/06/2019,3
Aglarond,11/06/2019,9.666666667
Aglarond,12/06/2019,5
Aglarond,13/06/2019,9.8
Aglarond,14/06/2019,9
Aglarond,15/06/2019,1
Aglarond,16/06/2019,3.25
Aglarond,17/06/2019,7.714285714
Aglarond,18/06/2019,11
Aglarond,19/06/2019,3.5
Aglarond,20/06/2019,7.4
Aglarond,21/06/2019,8.5
Aglarond,22/06/2019,7.833333333
Aglarond,23/06/2019,6.4
Aglarond,24/06/2019,1.5
Aglarond,25/06/2019,9.25
Aglarond,26/06/2019,4.5
Aglarond,27/06/2019,7.833333333
Aglarond,28/06/2019,5
Aglarond,29/06/2019,7.5
Aglarond,30/06/2019,2
Aglarond,01/07/2019,8.111111111
Aglarond,02/07/2019,14
Aglarond,04/07/2019,5.333333333
Aglarond,05/07/2019,1
Aglarond,06/07/2019,9.75
Aglarond,07/07/2019,5
Aglarond,08/07/2019,8
Aglarond,09/07/2019,5
Aglarond,10/07/2019,8.333333333
Aglarond,11/07/2019,8.75
Aglarond,12/07/2019,6.75
Aglarond,13/07/2019,8.5
Aglarond,15/07/2019,3.25
Aglarond,16/07/2019,12
Aglarond,17/07/2019,7
Aglarond,18/07/2019,10
Aglarond,19/07/2019,8.666666667
Aglarond,20/07/2019,5.166666667
Aglarond,21/07/2019,11.66666667
Aglarond,22/07/2019,7
Aglarond,23/07/2019,5
Aglarond,24/07/2019,4.666666667
Aglarond,25/07/2019,4
Aglarond,26/07/2019,2
Aglarond,27/07/2019,8
Aglarond,28/07/2019,6.333333333
Aglarond,29/07/2019,0
Aglarond,30/07/2019,4.5
Aglarond,31/07/2019,5.333333333
Aglarond,01/08/2019,8.6
Aglarond,02/08/2019,5.8
Aglarond,03/08/2019,9
Aglarond,04/08/2019,6
Aglarond,05/08/2019,9
Aglarond,06/08/2019,5.5
Aglarond,07/08/2019,6
Aglarond,08/08/2019,6
Aglarond,09/08/2019,6.5
Aglarond,10/08/2019,6
Aglarond,12/08/2019,5.625
Aglarond,13/08/2019,6.333333333
Aglarond,14/08/2019,7
Aglarond,15/08/2019,8.5
Aglarond,16/08/2019,5.333333333
Aglarond,17/08/2019,7
Aglarond,18/08/2019,11.5
Aglarond,19/08/2019,1.333333333
Aglarond,20/08/2019,6
Aglarond,21/08/2019,8.5
Aglarond,22/08/2019,5.333333333
Aglarond,24/08/2019,3.666666667
Aglarond,25/08/2019,6
Aglarond,26/08/2019,5.333333333
Aglarond,27/08/2019,3.5
Aglarond,28/08/2019,9.333333333
Aglarond,29/08/2019,8
Aglarond,30/08/2019,8
Aglarond,31/08/2019,8.8
Aglarond,01/09/2019,2.5
Aglarond,02/09/2019,10.25
Aglarond,03/09/2019,8
Aglarond,04/09/2019,5.666666667
Aglarond,05/09/2019,10
Aglarond,06/09/2019,7
Aglarond,08/09/2019,6.285714286
Aglarond,09/09/2019,5
Aglarond,10/09/2019,7.666666667
Aglarond,11/09/2019,8.666666667
Aglarond,12/09/2019,9
Aglarond,13/09/2019,7.4
Aglarond,14/09/2019,4.4
Aglarond,15/09/2019,9
Aglarond,16/09/2019,9.5
Aglarond,17/09/2019,7
Aglarond,18/09/2019,6
Aglarond,19/09/2019,10
Aglarond,20/09/2019,6
Aglarond,22/09/2019,12.33333333
Aglarond,23/09/2019,5.75
Aglarond,25/09/2019,5
Aglarond,26/09/2019,4
Aglarond,27/09/2019,10.66666667
Aglarond,28/09/2019,9
Aglarond,29/09/2019,7.666666667
Aglarond,30/09/2019,6
Aglarond,01/10/2019,3
Aglarond,02/10/2019,8
Aglarond,03/10/2019,5.5
Aglarond,04/10/2019,7
Aglarond,05/10/2019,8.5
Aglarond,06/10/2019,4
Aglarond,07/10/2019,7
Aglarond,08/10/2019,6
Aglarond,09/10/2019,10
Aglarond,10/10/2019,7.4
Aglarond,11/10/2019,4.333333333
Aglarond,12/10/2019,8.5
Aglarond,13/10/2019,4.666666667
Aglarond,14/10/2019,6
Aglarond,15/10/2019,8.5
Aglarond,16/10/2019,5
Aglarond,17/10/2019,9.8
Aglarond,18/10/2019,4.25
Aglarond,19/10/2019,8.4
Aglarond,20/10/2019,9.5
Aglarond,21/10/2019,5.5
Aglarond,22/10/2019,6.666666667
Aglarond,23/10/2019,9
Aglarond,24/10/2019,9.5
Aglarond,25/10/2019,6.25
Aglarond,26/10/2019,8
Aglarond,27/10/2019,6.333333333
Aglarond,28/10/2019,4.5
Aglarond,29/10/2019,5
Aglarond,30/10/2019,7.333333333
Aglarond,31/10/2019,7
Aglarond,01/11/2019,6.4
Aglarond,02/11/2019,2.5
Aglarond,03/11/2019,1
Aglarond,04/11/2019,7.666666667
Aglarond,05/11/2019,8
Aglarond,06/11/2019,9
Aglarond,07/11/2019,4.5
Aglarond,08/11/2019,5.5
Aglarond,09/11/2019,6.75
Aglarond,10/11/2019,5.285714286
Aglarond,11/11/2019,7.5
Aglarond,12/11/2019,8.4
Aglarond,13/11/2019,8.333333333
Aglarond,14/11/2019,6
Aglarond,15/11/2019,6
Aglarond,16/11/2019,5.5
Aglarond,17/11/2019,5
Aglarond,19/11/2019,5.5
Aglarond,20/11/2019,4.333333333
Aglarond,21/11/2019,8.4
Aglarond,22/11/2019,5.4
Aglarond,23/11/2019,8
Aglarond,24/11/2019,4.333333333
Aglarond,25/11/2019,0
Aglarond,26/11/2019,6
Aglarond,27/11/2019,11.5
Aglarond,28/11/2019,3
Aglarond,29/11/2019,7.666666667
Aglarond,30/11/2019,6.142857143
Aglarond,01/12/2019,6.25
Aglarond,02/12/2019,11
Aglarond,03/12/2019,5
Aglarond,04/12/2019,11
Aglarond,05/12/2019,7.555555556
Aglarond,06/12/2019,5
Aglarond,07/12/2019,9.4
Aglarond,08/12/2019,6.5
Aglarond,09/12/2019,6
Aglarond,10/12/2019,4.333333333
Aglarond,11/12/2019,12
Aglarond,12/12/2019,7
Aglarond,13/12/2019,9
Aglarond,14/12/2019,6.428571429
Aglarond,15/12/2019,8.4
Aglarond,16/12/2019,6
Aglarond,17/12/2019,8.333333333
Aglarond,18/12/2019,8.5
Aglarond,19/12/2019,8
Aglarond,20/12/2019,9.75
Aglarond,21/12/2019,9.5
Aglarond,22/12/2019,10.66666667
Aglarond,23/12/2019,5.5
Aglarond,24/12/2019,7.8
Aglarond,25/12/2019,5.5
Aglarond,26/12/2019,8
Aglarond,27/12/2019,9
Aglarond,28/12/2019,9.5
Aglarond,29/12/2019,9.333333333
Aglarond,30/12/2019,4
Aglarond,31/12/2019,8.25
Aglarond,01/01/2020,0
Aglarond,02/01/2020,5.2
Aglarond,03/01/2020,6
Aglarond,04/01/2020,2
Aglarond,05/01/2020,5
Aglarond,06/01/2020,8.25
Aglarond,07/01/2020,5.333333333
Aglarond,08/01/2020,3.6
Aglarond,09/01/2020,4.5
Aglarond,10/01/2020,10.5
Aglarond,11/01/2020,9.5
Aglarond,12/01/2020,5.25
Aglarond,13/01/2020,8.285714286
Aglarond,14/01/2020,3
Aglarond,15/01/2020,8.857142857
Aglarond,16/01/2020,3
Aglarond,17/01/2020,8
Aglarond,18/01/2020,7
Aglarond,19/01/2020,7.25
Aglarond,20/01/2020,9.5
Aglarond,21/01/2020,7.857142857
Aglarond,22/01/2020,5.2
Aglarond,23/01/2020,10
Aglarond,24/01/2020,4.5
Aglarond,25/01/2020,2
Aglarond,26/01/2020,3
Aglarond,27/01/2020,12
Aglarond,28/01/2020,7.142857143
Aglarond,29/01/2020,7
Aglarond,30/01/2020,10.33333333
Aglarond,31/01/2020,6.5
Aglarond,01/02/2020,6.5
Aglarond,02/02/2020,8.25
Aglarond,03/02/2020,3.4
Aglarond,04/02/2020,7.8
Aglarond,05/02/2020,8
Aglarond,06/02/2020,7
Aglarond,07/02/2020,7.666666667
Aglarond,08/02/2020,3.5
Aglarond,09/02/2020,6.571428571
Aglarond,10/02/2020,7
Aglarond,11/02/2020,8
Aglarond,12/02/2020,5.333333333
Aglarond,13/02/2020,9.625
Aglarond,14/02/2020,6.5
Aglarond,15/02/2020,6
Aglarond,16/02/2020,6
Aglarond,17/02/2020,6.5
Aglarond,18/02/2020,4.666666667
Aglarond,19/02/2020,4.666666667
Aglarond,20/02/2020,8
Aglarond,21/02/2020,8.285714286
Aglarond,22/02/2020,10
Aglarond,23/02/2020,6.4
Aglarond,24/02/2020,10.4
Aglarond,25/02/2020,9
Aglarond,26/02/2020,6.833333333
Aglarond,27/02/2020,5
Aglarond,28/02/2020,8.333333333
Aglarond,29/02/2020,7
Aglarond,01/03/2020,5.8
Aglarond,02/03/2020,4
Aglarond,03/03/2020,9.125
Aglarond,04/03/2020,6.333333333
Aglarond,05/03/2020,6.625
Aglarond,06/03/2020,10.25
Aglarond,07/03/2020,7.75
Aglarond,08/03/2020,7.6
Aglarond,09/03/2020,10
Aglarond,10/03/2020,5.666666667
Aglarond,11/03/2020,6.25
Aglarond,12/03/2020,5.8
Aglarond,13/03/2020,9.285714286
Aglarond,14/03/2020,10.33333333
Aglarond,15/03/2020,12
Aglarond,16/03/2020,7.5
Aglarond,17/03/2020,9.5
Aglarond,18/03/2020,2
Aglarond,19/03/2020,6.428571429
Aglarond,20/03/2020,5.75
Aglarond,21/03/2020,4.333333333
Aglarond,22/03/2020,6
Aglarond,23/03/2020,9
Aglarond,24/03/2020,1
Aglarond,25/03/2020,4.833333333
Aglarond,26/03/2020,6.333333333
Aglarond,27/03/2020,9
Aglarond,28/03/2020,11
Aglarond,29/03/2020,8
Aglarond,30/03/2020,8.75
Aglarond,31/03/2020,1.5
Aglarond,01/04/2020,8.8
Aglarond,02/04/2020,9.333333333
Aglarond,03/04/2020,7.666666667
Aglarond,04/04/2020,3
Aglarond,05/04/2020,6.3
Aglarond,06/04/2020,14
Aglarond,07/04/2020,6.166666667
Aglarond,08/04/2020,3.666666667
Aglarond,09/04/2020,4.333333333
Aglarond,10/04/2020,5.875
Aglarond,11/04/2020,5.333333333
Aglarond,12/04/2020,8.5
Aglarond,13/04/2020,6
Aglarond,14/04/2020,8.714285714
Aglarond,15/04/2020,1
Aglarond,16/04/2020,6
Aglarond,17/04/2020,9.333333333
Aglarond,18/04/2020,6
Aglarond,19/04/2020,4
Aglarond,20/04/2020,8.5
Aglarond,21/04/2020,7
Aglarond,22/04/2020,6.333333333
Aglarond,23/04/2020,8.5
Aglarond,24/04/2020,6.444444444
Aglarond,25/04/2020,6.6
Aglarond,26/04/2020,9
Aglarond,27/04/2020,7.75
Aglarond,28/04/2020,6.2
Aglarond,29/04/2020,8.5
Aglarond,30/04/2020,5.2
Aglarond,01/05/2020,10.33333333
Aglarond,02/05/2020,7
Aglarond,03/05/2020,12.5
Aglarond,04/05/2020,10.2
Aglarond,05/05/2020,12
Aglarond,06/05/2020,8.5
Aglarond,07/05/2020,9.5
Aglarond,08/05/2020,5.428571429
Aglarond,09/05/2020,8
Aglarond,10/05/2020,7.4
Aglarond,11/05/2020,8
Aglarond,12/05/2020,4.666666667
Aglarond,13/05/2020,9.25
Aglarond,14/05/2020,9.25
Aglarond,15/05/2020,6.75
Aglarond,16/05/2020,7
Aglarond,17/05/2020,5.833333333
Aglarond,19/05/2020,5.8
Aglarond,20/05/2020,11
Aglarond,21/05/2020,6
Aglarond,22/05/2020,7.285714286
Aglarond,23/05/2020,4
Aglarond,24/05/2020,10
Aglarond,25/05/2020,9.75
Aglarond,26/05/2020,10.2
Aglarond,27/05/2020,3.666666667
Aglarond,28/05/2020,5.25
Aglarond,29/05/2020,7.5
Aglarond,30/05/2020,6.5
Aglarond,31/05/2020,11.33333333
Aglarond,01/06/2020,4
Aglarond,03/06/2020,2.5
Aglarond,04/06/2020,4.285714286
Aglarond,05/06/2020,6.5
Aglarond,06/06/2020,0
Aglarond,07/06/2020,7.5
Aglarond,08/06/2020,7.5
Aglarond,09/06/2020,4.666666667
Aglarond,10/06/2020,10.66666667
Aglarond,11/06/2020,7
Aglarond,12/06/2020,4.6
Aglarond,13/06/2020,6
Aglarond,14/06/2020,8.333333333
Aglarond,15/06/2020,8
Aglarond,16/06/2020,2.5
Aglarond,17/06/2020,5.5
Aglarond,18/06/2020,11.33333333
Aglarond,19/06/2020,5.5
Aglarond,20/06/2020,8
Aglarond,21/06/2020,3
Aglarond,22/06/2020,8.6
Aglarond,23/06/2020,8
Aglarond,24/06/2020,8
Aglarond,25/06/2020,8
Aglarond,26/06/2020,12
Aglarond,27/06/2020,2
Aglarond,28/06/2020,12
Aglarond,29/06/2020,5.75
Aglarond,30/06/2020,8.857142857
Aglarond,01/07/2020,6.5
Aglarond,02/07/2020,6.857142857
Aglarond,03/07/2020,8
Aglarond,04/07/2020,6.333333333
Aglarond,05/07/2020,3
Aglarond,06/07/2020,5
Aglarond,07/07/2020,10.42857143
Aglarond,08/07/2020,9.166666667
Aglarond,09/07/2020,7.75
Aglarond,10/07/2020,11
Aglarond,11/07/2020,3
Aglarond,12/07/2020,6
Aglarond,13/07/2020,8.25
Aglarond,14/07/2020,3.25
Aglarond,15/07/2020,4.5
Aglarond,16/07/2020,5
Aglarond,17/07/2020,10.4
Aglarond,18/07/2020,6.2
Aglarond,19/07/2020,6.333333333
Aglarond,20/07/2020,8.5
Aglarond,21/07/2020,10
Aglarond,22/07/2020,3
Aglarond,23/07/2020,9.4
Aglarond,24/07/2020,6.333333333
Aglarond,25/07/2020,4
Aglarond,26/07/2020,3.5
Aglarond,27/07/2020,8.5
Aglarond,28/07/2020,8
Aglarond,29/07/2020,6.6
Aglarond,30/07/2020,5.5
Aglarond,31/07/2020,6.5
Aglarond,01/08/2020,7.375
Aglarond,02/08/2020,7
Aglarond,03/08/2020,6.4
Aglarond,04/08/2020,6
Aglarond,05/08/2020,11
Aglarond,06/08/2020,8.25
Aglarond,07/08/2020,4
Aglarond,08/08/2020,8.333333333
Aglarond,09/08/2020,9
Aglarond,10/08/2020,6.333333333
Aglarond,12/08/2020,4.4
Aglarond,13/08/2020,5.75
Aglarond,15/08/2020,5
Aglarond,16/08/2020,4.25
Aglarond,17/08/2020,3.666666667
Aglarond,18/08/2020,9
Aglarond,19/08/2020,8.333333333
Aglarond,20/08/2020,5.25
Aglarond,21/08/2020,7
Aglarond,22/08/2020,12.5
Aglarond,23/08/2020,2
Aglarond,24/08/2020,7.25
Aglarond,25/08/2020,7.333333333
Aglarond,26/08/2020,5.666666667
Aglarond,27/08/2020,9.25
Aglarond,29/08/2020,4.666666667
Aglarond,30/08/2020,8
Aglarond,31/08/2020,8
Aglarond,01/09/2020,12
Aglarond,02/09/2020,9
Aglarond,03/09/2020,7.4
Aglarond,04/09/2020,7.25
Aglarond,05/09/2020,0
Aglarond,06/09/2020,10.25
Aglarond,07/09/2020,5
Aglarond,08/09/2020,8.333333333
Aglarond,09/09/2020,7.6
Aglarond,10/09/2020,4
Aglarond,11/09/2020,11.75
Aglarond,12/09/2020,6.571428571
Aglarond,13/09/2020,5.4
Aglarond,14/09/2020,6.5
Aglarond,15/09/2020,7.5
Aglarond,16/09/2020,8.8
Aglarond,17/09/2020,6.25
Aglarond,18/09/2020,6.75
Aglarond,19/09/2020,10
Aglarond,20/09/2020,11.4
Aglarond,21/09/2020,4.5
Aglarond,22/09/2020,9.6
Aglarond,23/09/2020,9
Aglarond,24/09/2020,2
Aglarond,25/09/2020,7.166666667
Aglarond,26/09/2020,6
Aglarond,27/09/2020,5.25
Aglarond,28/09/2020,3
Aglarond,29/09/2020,3.5
Aglarond,30/09/2020,13
Aglarond,01/10/2020,8.8
Aglarond,03/10/2020,9.666666667
Aglarond,04/10/2020,9.75
Aglarond,05/10/2020,6.75
Aglarond,06/10/2020,3.2
Aglarond,07/10/2020,14
Aglarond,08/10/2020,7
Aglarond,09/10/2020,6
Aglarond,11/10/2020,6.714285714
Aglarond,12/10/2020,7.25
Aglarond,13/10/2020,4.333333333
Aglarond,14/10/2020,11.33333333
Aglarond,15/10/2020,8
Aglarond,16/10/2020,5
Aglarond,17/10/2020,13
Aglarond,18/10/2020,4.5
Aglarond,19/10/2020,3.333333333
Aglarond,20/10/2020,7.666666667
Aglarond,21/10/2020,5.8
Aglarond,22/10/2020,2.5
Aglarond,23/10/2020,8.142857143
Aglarond,24/10/2020,7.666666667
Aglarond,25/10/2020,6.75
Aglarond,26/10/2020,9.428571429
Aglarond,27/10/2020,5.5
Aglarond,28/10/2020,4.333333333
Aglarond,29/10/2020,7.777777778
Aglarond,30/10/2020,1
Aglarond,31/10/2020,10.2
Aglarond,01/11/2020,7.666666667
Aglarond,02/11/2020,6.25
Aglarond,03/11/2020,12.5
Aglarond,04/11/2020,7.5
Aglarond,05/11/2020,7.4
Aglarond,06/11/2020,8.714285714
Aglarond,07/11/2020,3.666666667
Aglarond,08/11/2020,9
Aglarond,09/11/2020,8.2
Aglarond,10/11/2020,7.555555556
Aglarond,11/11/2020,7.25
Aglarond,12/11/2020,2
Aglarond,13/11/2020,9.5
Aglarond,14/11/2020,3.5
Aglarond,15/11/2020,6.571428571
Aglarond,16/11/2020,5.333333333
Aglarond,17/11/2020,11
Aglarond,18/11/2020,5
Aglarond,19/11/2020,6.333333333
Aglarond,20/11/2020,13
Aglarond,21/11/2020,5.5
Aglarond,22/11/2020,8
Aglarond,23/11/2020,4.666666667
Aglarond,24/11/2020,0
Aglarond,25/11/2020,7.5
Aglarond,26/11/2020,12.5
Aglarond,27/11/2020,6.142857143
Aglarond,28/11/2020,10.8
Aglarond,29/11/2020,6.833333333
Aglarond,30/11/2020,9
Aglarond,01/12/2020,7
Aglarond,02/12/2020,9.666666667
Aglarond,03/12/2020,4.25
Aglarond,04/12/2020,6
Aglarond,05/12/2020,6
Aglarond,06/12/2020,5.6
Aglarond,07/12/2020,9.75
Aglarond,08/12/2020,6.5
Aglarond,09/12/2020,0
Aglarond,10/12/2020,7.333333333
Aglarond,11/12/2020,6.75
Aglarond,12/12/2020,7.8
Aglarond,13/12/2020,6
Aglarond,14/12/2020,9.5
Aglarond,15/12/2020,1.5
Aglarond,16/12/2020,3
Aglarond,17/12/2020,9.5
Aglarond,18/12/2020,9.833333333
Aglarond,19/12/2020,8.142857143
Aglarond,20/12/2020,9.2
Aglarond,21/12/2020,3
Aglarond,22/12/2020,7
Aglarond,23/12/2020,9.666666667
Aglarond,24/12/2020,4
Aglarond,25/12/2020,11.4
Aglarond,26/12/2020,6
Aglarond,27/12/2020,2
Aglarond,28/12/2020,5.666666667
Aglarond,29/12/2020,3.5
Aglarond,30/12/2020,8.333333333
Aglarond,31/12/2020,5.666666667
Aglarond,01/01/2021,8
Aglarond,02/01/2021,6.6
Aglarond,03/01/2021,3.5
Aglarond,04/01/2021,8
Aglarond,05/01/2021,8.666666667
Aglarond,06/01/2021,6.5
Aglarond,07/01/2021,9.333333333
Aglarond,08/01/2021,3
Aglarond,09/01/2021,10
Aglarond,10/01/2021,11.25
Aglarond,11/01/2021,5.5
Aglarond,12/01/2021,8.166666667
Aglarond,13/01/2021,9
Aglarond,14/01/2021,6.2
Aglarond,15/01/2021,8
Aglarond,16/01/2021,7
Aglarond,17/01/2021,9.5
Aglarond,18/01/2021,7.25
Aglarond,19/01/2021,4
Aglarond,20/01/2021,0
Aglarond,21/01/2021,5.5
Aglarond,22/01/2021,7.666666667
Aglarond,23/01/2021,5.25
Aglarond,24/01/2021,9.666666667
Aglarond,25/01/2021,7
Aglarond,26/01/2021,3
Aglarond,27/01/2021,10.16666667
Aglarond,28/01/2021,7.8
Aglarond,29/01/2021,6.5
Aglarond,30/01/2021,4.25
Aglarond,31/01/2021,8
Aglarond,01/02/2021,3.428571429
Aglarond,02/02/2021,5.714285714
Aglarond,03/02/2021,7
Aglarond,04/02/2021,7.5
Aglarond,05/02/2021,4.5
Aglarond,06/02/2021,1.75
Aglarond,07/02/2021,11.5
Aglarond,08/02/2021,5
Aglarond,09/02/2021,5.5
Aglarond,10/02/2021,7.833333333
Aglarond,11/02/2021,7.666666667
Aglarond,12/02/2021,9
Aglarond,13/02/2021,8
Aglarond,14/02/2021,5.8
Aglarond,15/02/2021,10.75
Aglarond,16/02/2021,6
Aglarond,17/02/2021,7.5
Aglarond,18/02/2021,6
Aglarond,19/02/2021,6
Aglarond,20/02/2021,7.8
Aglarond,21/02/2021,4.8
Aglarond,22/02/2021,5.166666667
Aglarond,23/02/2021,11
Aglarond,24/02/2021,6.5
Aglarond,25/02/2021,4
Aglarond,26/02/2021,9
Aglarond,27/02/2021,9.333333333
Aglarond,28/02/2021,6.5
Aglarond,01/03/2021,2
Aglarond,02/03/2021,8.25
Aglarond,03/03/2021,8.142857143
Aglarond,04/03/2021,6.666666667
Aglarond,05/03/2021,8.25
Aglarond,06/03/2021,12
Aglarond,07/03/2021,9
Aglarond,08/03/2021,5
Aglarond,09/03/2021,6.75
Aglarond,10/03/2021,6.285714286
Aglarond,11/03/2021,8.5
Aglarond,12/03/2021,5.5
Aglarond,13/03/2021,9.666666667
Aglarond,14/03/2021,10.25
Aglarond,15/03/2021,7.285714286
Aglarond,16/03/2021,7
Aglarond,17/03/2021,6
Aglarond,18/03/2021,7.090909091
Aglarond,19/03/2021,5.333333333
Aglarond,20/03/2021,5.142857143
Aglarond,21/03/2021,9.333333333
Aglarond,22/03/2021,2
Aglarond,23/03/2021,7.25
Aglarond,24/03/2021,7.666666667
Aglarond,25/03/2021,4
Aglarond,26/03/2021,2.2
Aglarond,27/03/2021,6.222222222
Aglarond,28/03/2021,5
Aglarond,29/03/2021,7.5
Aglarond,30/03/2021,8.833333333
Aglarond,31/03/2021,6.75
Aglarond,01/04/2021,5.5
Aglarond,02/04/2021,4
Aglarond,03/04/2021,4
Aglarond,04/04/2021,5.2
Aglarond,05/04/2021,9.5
Aglarond,06/04/2021,5.75
Aglarond,07/04/2021,5.666666667
Aglarond,08/04/2021,3
Aglarond,09/04/2021,6.714285714
Aglarond,10/04/2021,8
Aglarond,12/04/2021,6.333333333
Aglarond,13/04/2021,8.333333333
Aglarond,14/04/2021,5.666666667
Aglarond,15/04/2021,8.25
Aglarond,16/04/2021,6
Aglarond,17/04/2021,6.666666667
Aglarond,18/04/2021,6
Aglarond,19/04/2021,7.666666667
Aglarond,20/04/2021,6
Aglarond,21/04/2021,13
Aglarond,22/04/2021,4
Aglarond,23/04/2021,10.5
Aglarond,24/04/2021,10.5
Aglarond,25/04/2021,4.25
Aglarond,26/04/2021,7
Aglarond,27/04/2021,11
Aglarond,28/04/2021,3.333333333
Aglarond,29/04/2021,7.666666667
Aglarond,30/04/2021,9
Aglarond,01/05/2021,5.4
Aglarond,02/05/2021,8.666666667
Aglarond,04/05/2021,4
Aglarond,05/05/2021,7.8
